"DateTime";"DUQUE DE CAXIAS - XEREM"
"2021-05-19 06:00:00";112
"2021-05-19 07:00:00";102
"2021-05-19 08:00:00";38
"2021-05-19 09:00:00";187
"2021-05-19 10:00:00";126
"2021-05-19 11:00:00";105
"2021-05-19 12:00:00";30
"2021-05-19 13:00:00";42
"2021-05-19 14:00:00";156
"2021-05-19 15:00:00";288
"2021-05-19 16:00:00";324
"2021-05-19 17:00:00";293
"2021-05-19 18:00:00";114
"2021-05-19 19:00:00";130
"2021-05-19 20:00:00";254
"2021-05-19 21:00:00";341
"2021-05-19 22:00:00";165
"2021-05-19 23:00:00";142
"2021-05-20 00:00:00";37
"2021-05-20 01:00:00";118
"2021-05-20 02:00:00";112
"2021-05-20 03:00:00";135
"2021-05-20 04:00:00";119
"2021-05-20 05:00:00";131
"2021-05-20 06:00:00";123
"2021-05-20 07:00:00";127
"2021-05-20 08:00:00";77
"2021-05-20 09:00:00";119
"2021-05-20 10:00:00";108
"2021-05-20 11:00:00";227
"2021-05-20 12:00:00";46
"2021-05-20 13:00:00";317
"2021-05-20 14:00:00";297
"2021-05-20 15:00:00";315
"2021-05-20 16:00:00";214
"2021-05-20 17:00:00";162
"2021-05-20 18:00:00";148
"2021-05-20 19:00:00";129
"2021-05-20 20:00:00";264
"2021-05-20 21:00:00";194
"2021-05-20 22:00:00";193
"2021-05-20 23:00:00";106
"2021-05-21 00:00:00";37
"2021-05-21 01:00:00";145
"2021-05-21 02:00:00";146
"2021-05-21 03:00:00";134
"2021-05-21 04:00:00";127
"2021-05-21 05:00:00";132
"2021-05-21 06:00:00";124
"2021-05-21 07:00:00";159
"2021-05-21 08:00:00";132
"2021-05-21 09:00:00";159
"2021-05-21 10:00:00";141
"2021-05-21 11:00:00";121
"2021-05-21 12:00:00";341
"2021-05-21 13:00:00";6
"2021-05-21 14:00:00";292
"2021-05-21 15:00:00";36
"2021-05-21 16:00:00";259
"2021-05-21 17:00:00";192
"2021-05-21 18:00:00";247
"2021-05-21 19:00:00";295
"2021-05-21 20:00:00";183
"2021-05-21 21:00:00";47
"2021-05-21 22:00:00";155
"2021-05-21 23:00:00";125
"2021-05-22 00:00:00";65
"2021-05-22 01:00:00";33
"2021-05-22 02:00:00";135
"2021-05-22 03:00:00";119
"2021-05-22 04:00:00";150
"2021-05-22 05:00:00";94
"2021-05-22 06:00:00";206
"2021-05-22 07:00:00";42
"2021-05-22 08:00:00";168
"2021-05-22 09:00:00";130
"2021-05-22 10:00:00";201
"2021-05-22 11:00:00";316
"2021-05-22 12:00:00";117
"2021-05-22 13:00:00";241
"2021-05-22 14:00:00";207
"2021-05-22 15:00:00";235
"2021-05-22 16:00:00";273
"2021-05-22 17:00:00";264
"2021-05-22 18:00:00";290
"2021-05-22 19:00:00";51
"2021-05-22 20:00:00";18
"2021-05-22 21:00:00";107
"2021-05-22 22:00:00";95
